Date,Name of State / UT,Active Cases*,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered
2020-07-17,Andaman and Nicobar Islands,47,11.7401,92.6586,180,0,133,0,0,0
2020-07-17,Andhra Pradesh,18159,15.9129,79.74,38044,492,19393,0,0,0
2020-07-17,Arunachal Pradesh,387,28.218000000000004,94.7278,543,3,153,0,0,0
2020-07-17,Assam,6818,26.2006,92.9376,19754,48,12888,0,0,0
2020-07-17,Bihar,7549,25.0961,85.3131,21764,197,14018,0,0,0
2020-07-17,Chandigarh,164,30.7333,76.7794,651,11,476,0,0,0
2020-07-17,Chhattisgarh,1260,21.2787,81.8661,4732,21,3451,0,0,0
2020-07-17,Dadra and Nagar Haveli and Daman and Diu,179,20.1809,73.0169,552,2,371,0,0,0
2020-07-17,Delhi,17407,28.7041,77.1025,118645,3545,97693,0,0,0
2020-07-17,Goa,1272,15.2993,74.124,3108,19,1817,0,0,0
2020-07-17,Gujarat,11289,22.2587,71.1924,45481,2089,32103,0,0,0
2020-07-17,Haryana,5495,29.0588,76.0856,24002,322,18185,0,0,0
2020-07-17,Himachal Pradesh,382,31.1048,77.1734,1377,11,984,0,0,0
2020-07-17,Jammu and Kashmir,5488,33.7782,76.5762,12156,222,6446,0,0,0
2020-07-17,Jharkhand,2069,23.6102,85.2799,4624,42,2513,0,0,0
2020-07-17,Karnataka,30661,15.3173,75.7139,51422,1032,19729,0,0,0
2020-07-17,Kerala,5376,10.8505,76.2711,10275,37,4862,0,0,0
2020-07-17,Ladakh,176,34.2996,78.2932,1147,1,970,0,0,0
2020-07-17,Madhya Pradesh,5562,22.9734,78.6569,20378,689,14127,0,0,0
2020-07-17,Maharashtra,114947,19.7515,75.7139,284281,11194,158140,0,0,0
2020-07-17,Manipur,635,24.6637,93.9063,1764,0,1129,0,0,0
2020-07-17,Meghalaya,309,25.467,91.3662,377,2,66,0,0,0
2020-07-17,Mizoram,112,23.1645,92.9376,272,0,160,0,0,0
2020-07-17,Nagaland,525,26.1584,94.5624,916,0,391,0,0,0
2020-07-17,Odisha,4436,20.9517,85.0985,15392,79,10877,0,0,0
2020-07-17,Puducherry,774,11.9416,79.8083,1743,22,947,0,0,0
2020-07-17,Punjab,2587,31.1471,75.3412,9094,230,6277,0,0,0
2020-07-17,Rajasthan,6666,27.0238,74.2179,27174,538,19970,0,0,0
2020-07-17,Sikkim,155,27.533,88.5122,243,0,88,0,0,0
2020-07-17,Tamil Nadu,46717,11.1271,78.6569,156369,2236,107416,0,0,0
2020-07-17,Telangana,13327,18.1124,79.0193,41018,396,27295,0,0,0
2020-07-17,Tripura,676,23.9408,91.9882,2283,3,1604,0,0,0
2020-07-17,Uttar Pradesh,15720,26.8467,80.9462,43441,1046,26675,0,0,0
2020-07-17,Uttarakhand,937,30.0668,79.0193,3982,50,2995,0,0,0
2020-07-17,West Bengal,13679,22.9868,87.855,36117,1023,21415,0,0,0
