Name of State / UT,Active Cases*,Cured/Discharged/Migrated*,Deaths**,Total Confirmed cases*,Date,Latitude,Longitude
Andaman and Nicobar Islands,47,133,0,180,2020-07-17,11.7401,92.6586
Andhra Pradesh,18159,19393,492,38044,2020-07-17,15.9129,79.74
Arunachal Pradesh,387,153,3,543,2020-07-17,28.218,94.7278
Assam,6818,12888,48,19754,2020-07-17,26.2006,92.9376
Bihar,7549,14018,197,21764,2020-07-17,25.0961,85.3131
Chandigarh,164,476,11,651,2020-07-17,30.7333,76.7794
Chhattisgarh,1260,3451,21,4732,2020-07-17,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,179,371,2,552,2020-07-17,20.1809,73.0169
Delhi,17407,97693,3545,118645,2020-07-17,28.7041,77.1025
Goa,1272,1817,19,3108,2020-07-17,15.2993,74.124
Gujarat,11289,32103,2089,45481,2020-07-17,22.2587,71.1924
Haryana,5495,18185,322,24002,2020-07-17,29.0588,76.0856
Himachal Pradesh,382,984,11,1377,2020-07-17,31.1048,77.1734
Jammu and Kashmir,5488,6446,222,12156,2020-07-17,33.7782,76.5762
Jharkhand,2069,2513,42,4624,2020-07-17,23.6102,85.2799
Karnataka,30661,19729,1032,51422,2020-07-17,15.3173,75.7139
Kerala,5376,4862,37,10275,2020-07-17,10.8505,76.2711
Ladakh,176,970,1,1147,2020-07-17,34.2996,78.2932
Madhya Pradesh,5562,14127,689,20378,2020-07-17,22.9734,78.6569
Maharashtra,114947,158140,11194,284281,2020-07-17,19.7515,75.7139
Manipur,635,1129,0,1764,2020-07-17,24.6637,93.9063
Meghalaya,309,66,2,377,2020-07-17,25.467,91.3662
Mizoram,112,160,0,272,2020-07-17,23.1645,92.9376
Nagaland,525,391,0,916,2020-07-17,26.1584,94.5624
Odisha,4436,10877,79,15392,2020-07-17,20.9517,85.0985
Puducherry,774,947,22,1743,2020-07-17,11.9416,79.8083
Punjab,2587,6277,230,9094,2020-07-17,31.1471,75.3412
Rajasthan,6666,19970,538,27174,2020-07-17,27.0238,74.2179
Sikkim,155,88,0,243,2020-07-17,27.533,88.5122
Tamil Nadu,46717,107416,2236,156369,2020-07-17,11.1271,78.6569
Telangana,13327,27295,396,41018,2020-07-17,18.1124,79.0193
Tripura,676,1604,3,2283,2020-07-17,23.9408,91.9882
Uttarakhand,937,2995,50,3982,2020-07-17,30.0668,79.0193
Uttar Pradesh,15720,26675,1046,43441,2020-07-17,26.8467,80.9462
West Bengal,13679,21415,1023,36117,2020-07-17,22.9868,87.855
